Data;Open;High;Low;Close;Volume;<VOL>;<SPREAD>
2010.01.04;5.06;5.16;5.02;5.15;1049;5921287;1
2010.01.05;5.15;5.16;5.09;5.13;1215;5475442;1
2010.01.06;5.10;5.18;5.10;5.15;862;3614411;1
2010.01.07;5.10;5.14;5.03;5.13;958;4839228;1
2010.01.08;5.12;5.19;5.09;5.14;971;5322640;1
2010.01.11;5.19;5.19;5.10;5.12;906;5643251;1
2010.01.12;5.08;5.19;5.07;5.19;829;3814777;1
2010.01.13;5.20;5.27;5.16;5.27;1197;5425334;1
2010.01.14;5.23;5.43;5.22;5.40;1597;8979586;1
2010.01.15;5.42;5.42;5.24;5.25;1708;9262619;1
2010.01.18;5.30;5.36;5.24;5.25;502;2184178;1
2010.01.19;5.20;5.39;5.20;5.30;1069;4794128;1
2010.01.20;5.23;5.32;5.15;5.15;1596;8120457;1
2010.01.21;5.15;5.29;5.06;5.14;1483;7859959;1
2010.01.22;5.17;5.21;5.10;5.19;1623;9916369;1
2010.01.26;5.14;5.17;5.07;5.09;1253;6417228;1
2010.01.27;5.09;5.15;5.04;5.07;1210;4821686;1
2010.01.28;5.09;5.18;5.09;5.10;1110;7253824;1
2010.01.29;5.15;5.22;5.01;5.01;1371;7389089;1
2010.02.01;5.01;5.08;5.01;5.02;1248;6730329;1
2010.02.02;5.05;5.14;5.05;5.14;1696;8744150;1
2010.02.03;5.11;5.20;5.11;5.20;1163;9718494;1
2010.02.04;5.15;5.17;5.00;5.02;1354;6893123;1
2010.02.05;4.98;5.03;4.78;4.84;2009;11779916;1
2010.02.08;4.86;4.91;4.80;4.80;971;5540556;1
2010.02.09;4.81;4.93;4.81;4.82;1688;10144303;1
2010.02.10;4.82;4.90;4.81;4.87;906;5553084;1
2010.02.11;4.89;4.98;4.83;4.98;1012;4859263;1
2010.02.12;4.96;4.98;4.86;4.90;650;2547369;1
2010.02.17;5.07;5.19;5.05;5.19;1650;7353988;1
2010.02.18;5.16;5.20;5.15;5.19;774;4866786;1
2010.02.19;5.15;5.21;5.12;5.19;902;4080284;1
2010.02.22;5.22;5.22;5.13;5.15;871;4355799;1
2010.02.23;5.11;5.15;5.03;5.07;896;4906844;1
2010.02.24;5.07;5.14;5.03;5.07;714;3311320;1
2010.02.25;5.00;5.12;4.96;5.08;1041;4170473;1
2010.02.26;5.09;5.13;5.01;5.04;1474;7694650;1
2010.03.01;5.10;5.12;5.05;5.06;615;3156027;1
2010.03.02;5.06;5.14;5.06;5.13;594;3739635;1
2010.03.03;5.15;5.22;5.12;5.14;1613;9801156;1
2010.03.04;5.17;5.17;5.03;5.08;1220;6081582;1
2010.03.05;5.10;5.12;4.98;4.99;1903;11970264;1
2010.03.08;5.01;5.02;4.96;4.97;1449;8954541;1
2010.03.09;4.94;5.00;4.94;4.94;1976;12253314;1
2010.03.10;4.98;4.98;4.91;4.96;1389;8931994;1
2010.03.11;4.95;4.97;4.91;4.91;725;4380850;1
2010.03.12;4.96;4.97;4.89;4.91;1275;6830497;1
2010.03.15;4.91;4.92;4.86;4.87;727;3221156;1
2010.03.16;4.86;4.94;4.85;4.91;1269;6835509;1
2010.03.17;4.94;4.96;4.91;4.96;841;3912455;1
2010.03.18;4.96;4.98;4.92;4.96;841;3529232;1
2010.03.19;4.95;4.99;4.89;4.89;1284;6810463;1
2010.03.22;4.89;4.92;4.86;4.86;1087;6504879;1
2010.03.23;4.91;4.92;4.78;4.85;1031;4393375;1
2010.03.24;4.85;4.85;4.79;4.79;1239;5422847;1
2010.03.25;4.86;4.87;4.80;4.82;650;2705170;1
2010.03.26;4.86;4.87;4.83;4.87;1030;4268152;1
2010.03.29;4.87;4.91;4.82;4.84;1570;7797346;1
2010.03.30;4.86;4.89;4.83;4.85;1321;5192413;1
2010.03.31;4.87;4.88;4.76;4.77;2388;9350299;1
2010.04.01;4.85;4.85;4.74;4.76;2055;9037204;1
2010.04.05;4.77;4.82;4.76;4.81;1129;5998925;1
2010.04.06;4.81;4.84;4.80;4.83;1635;8243200;1
2010.04.07;4.83;4.83;4.78;4.83;1193;11769901;1
2010.04.08;4.83;4.85;4.80;4.82;2219;10221954;1
2010.04.09;4.85;4.90;4.83;4.90;1960;8804258;1
2010.04.12;4.90;4.95;4.86;4.90;1531;13493161;1
2010.04.13;4.92;4.97;4.89;4.94;1461;7496779;1
2010.04.14;4.93;5.02;4.91;5.01;1865;9147406;1
2010.04.15;5.00;5.08;4.96;5.06;2308;10722910;1
2010.04.16;5.01;5.06;4.99;5.01;1791;6865590;1
2010.04.19;4.95;5.00;4.94;4.98;1238;5826112;1
2010.04.20;4.94;5.03;4.94;5.01;1114;5452926;1
2010.04.22;4.98;5.06;4.92;5.03;1668;9347786;1
2010.04.23;5.06;5.12;5.01;5.12;1152;6404705;1
2010.04.26;5.09;5.12;5.07;5.12;977;4273159;1
2010.04.27;5.09;5.12;4.97;4.97;1305;7649561;1
2010.04.28;5.00;5.02;4.86;4.86;1743;17400590;1
2010.04.29;4.92;4.97;4.90;4.95;1280;5784049;1
2010.04.30;4.92;5.00;4.89;4.96;834;14371221;1
2010.05.03;4.94;5.06;4.94;4.98;1133;4872228;1
2010.05.04;4.98;5.03;4.92;5.02;1956;10774014;1
2010.05.05;5.00;5.09;4.97;4.98;2187;12890745;1
2010.05.06;4.97;5.10;4.92;5.00;2856;15112676;1
2010.05.07;5.00;5.09;4.96;5.03;2148;17760474;1
2010.05.10;5.12;5.15;5.06;5.09;1240;7259494;1
2010.05.11;5.06;5.20;5.06;5.13;2024;14248457;1
2010.05.12;5.13;5.22;5.13;5.19;1352;11247465;1
2010.05.13;5.19;5.22;5.17;5.19;1175;7687854;1
2010.05.14;5.17;5.20;5.12;5.13;1349;9153281;1
2010.05.17;5.13;5.20;5.12;5.20;1635;10185341;1
2010.05.18;5.21;5.23;5.13;5.18;1397;7367209;1
2010.05.19;5.14;5.18;5.07;5.09;3337;17279512;1
2010.05.20;5.06;5.10;4.94;4.94;2376;15065086;1
2010.05.21;4.92;5.10;4.92;5.09;1768;11437840;1
2010.05.24;5.06;5.15;5.04;5.09;1305;6437852;1
2010.05.25;5.02;5.14;5.01;5.10;2438;18131210;1
2010.05.26;5.11;5.17;4.98;4.98;2098;19524003;1
2010.05.27;5.07;5.12;5.07;5.10;2030;12522506;1
2010.05.28;5.10;5.10;5.05;5.08;1103;7509998;1
2010.05.31;5.09;5.11;5.03;5.08;787;10916815;1
2010.06.01;5.05;5.11;5.02;5.06;1886;9654276;1
2010.06.02;5.06;5.12;5.03;5.11;948;5202889;1
2010.06.04;5.11;5.16;4.95;5.12;2485;17509978;1
2010.06.07;5.12;5.20;5.12;5.19;1549;10871714;1
2010.06.08;5.18;5.25;5.17;5.19;2105;14040540;1
2010.06.09;5.21;5.25;5.17;5.19;1336;7690355;1
2010.06.10;5.19;5.28;5.17;5.25;1075;9223421;1
2010.06.11;5.21;5.27;5.21;5.24;738;4361207;1
2010.06.14;5.25;5.30;5.22;5.27;864;7001483;1
2010.06.15;5.29;5.37;5.23;5.33;728;5566116;1
2010.06.16;5.29;5.40;5.28;5.38;1458;11127225;1
2010.06.17;5.36;5.40;5.33;5.40;1202;7254486;1
2010.06.18;5.37;5.42;5.35;5.40;1077;6134750;1
2010.06.21;5.41;5.50;5.41;5.50;1193;6761002;1
2010.06.22;5.50;5.57;5.48;5.52;1466;9476425;1
2010.06.23;5.50;5.56;5.46;5.56;1401;7968412;1
2010.06.24;5.50;5.56;5.40;5.41;1541;11848665;1
2010.06.25;5.39;5.47;5.37;5.47;804;5824130;1
2010.06.28;5.43;5.55;5.42;5.53;708;6024531;1
2010.06.29;5.47;5.52;5.42;5.46;1706;16833627;1
2010.06.30;5.42;5.43;5.25;5.27;1618;10568610;1
2010.07.01;5.25;5.29;5.14;5.24;2151;12044050;1
2010.07.02;5.20;5.31;5.20;5.27;1085;7805587;1
2010.07.05;5.30;5.30;5.17;5.21;590;3887764;1
2010.07.06;5.24;5.38;5.19;5.36;1922;12474915;1
2010.07.07;5.36;5.40;5.30;5.39;782;8559598;1
2010.07.08;5.35;5.37;5.32;5.37;2008;10260490;1
2010.07.12;5.39;5.39;5.28;5.32;1586;7615206;1
2010.07.13;5.28;5.37;5.28;5.34;1715;9075626;1
2010.07.14;5.31;5.38;5.31;5.35;1196;5911803;1
2010.07.15;5.36;5.43;5.32;5.43;1492;12793057;1
2010.07.16;5.40;5.49;5.40;5.46;1837;11202371;1
2010.07.19;5.45;5.50;5.45;5.50;1393;9308586;1
2010.07.20;5.46;5.50;5.40;5.47;1390;9333639;1
2010.07.21;5.50;5.51;5.42;5.45;1480;9418806;1
2010.07.22;5.49;5.56;5.45;5.53;1208;8321615;1
2010.07.23;5.49;5.57;5.48;5.50;1498;10242956;1
2010.07.26;5.50;5.52;5.45;5.48;959;5814108;1
2010.07.27;5.50;5.51;5.45;5.49;1633;8026025;1
2010.07.28;5.51;5.57;5.46;5.57;1073;6027034;1
2010.07.29;5.57;5.59;5.51;5.56;1416;6350177;1
2010.07.30;5.53;5.59;5.50;5.57;1343;7089153;1
2010.08.02;5.59;5.67;5.27;5.55;3756;21833631;1
2010.08.03;5.55;5.56;5.48;5.52;1009;7302088;1
2010.08.04;5.54;5.54;5.47;5.50;1099;5946877;1
2010.08.05;5.56;5.56;5.42;5.47;1298;5646272;1
2010.08.06;5.42;5.47;5.35;5.36;1621;7970913;1
2010.08.09;5.36;5.40;5.34;5.36;753;4514014;1
2010.08.10;5.34;5.38;5.33;5.36;1575;8524525;1
2010.08.11;5.36;5.36;5.30;5.31;1048;6570619;1
2010.08.12;5.30;5.35;5.25;5.34;1117;9361194;1
2010.08.13;5.31;5.39;5.28;5.33;1500;8895261;1
2010.08.16;5.33;5.47;5.30;5.44;1252;6397774;1
2010.08.17;5.41;5.58;5.41;5.53;2056;10826618;1
2010.08.18;5.56;5.59;5.49;5.59;2456;12908280;1
2010.08.19;5.54;5.63;5.50;5.61;1627;8790051;1
2010.08.20;5.56;5.60;5.56;5.57;1056;6265015;1
2010.08.23;5.60;5.71;5.50;5.56;1653;8622213;1
2010.08.24;5.49;5.56;5.49;5.53;821;4316118;1
2010.08.25;5.50;5.55;5.41;5.44;859;4994974;1
2010.08.26;5.44;5.48;5.39;5.44;1483;8542057;1
2010.08.27;5.49;5.52;5.41;5.52;1336;6237455;1
2010.08.30;5.47;5.52;5.45;5.48;722;4296080;1
2010.08.31;5.50;5.68;5.49;5.66;1172;7096674;1
2010.09.01;5.64;5.73;5.62;5.70;2059;8299069;1
2010.09.02;5.68;5.71;5.62;5.68;601;3208906;1
2010.09.03;5.71;5.71;5.62;5.65;962;5375735;1
2010.09.06;5.68;5.69;5.59;5.64;207;816631;1
2010.09.08;5.63;5.73;5.62;5.72;1816;11535542;1
2010.09.09;5.71;5.72;5.68;5.71;1562;6853684;1
2010.09.10;5.72;5.77;5.67;5.76;701;4073134;1
2010.09.13;5.75;5.77;5.71;5.76;1500;6888753;1
2010.09.14;5.72;5.88;5.72;5.87;1967;9271011;1
2010.09.15;5.85;5.99;5.81;5.98;1725;6843662;1
2010.09.16;5.97;6.00;5.90;6.00;749;3785056;1
2010.09.17;5.95;6.09;5.89;5.91;1321;6878737;1
2010.09.20;5.91;6.06;5.91;6.06;1370;8511997;1
2010.09.21;6.06;6.06;5.89;5.91;1529;6239957;1
2010.09.22;5.86;6.01;5.85;5.99;1973;11482928;1
2010.09.23;5.95;6.05;5.89;5.97;2258;10936834;1
2010.09.24;5.98;6.04;5.88;5.89;1948;11285031;1
2010.09.27;5.94;6.03;5.89;6.03;1029;4754491;1
2010.09.28;6.03;6.08;5.92;6.08;1089;4586657;1
2010.09.29;6.06;6.17;6.02;6.17;1844;9333640;1
2010.09.30;6.19;6.22;6.10;6.10;1001;7785549;1
2010.10.01;6.19;6.20;6.13;6.19;1272;6407793;1
2010.10.04;6.19;6.26;6.15;6.26;749;3947883;1
2010.10.05;6.27;6.35;6.25;6.34;1786;10273012;1
2010.10.06;6.31;6.41;6.29;6.40;1999;13003467;1
2010.10.07;6.38;6.46;6.34;6.43;1309;6425328;1
2010.10.08;6.43;6.54;6.41;6.54;1004;5628738;1
2010.10.11;6.50;6.53;6.47;6.53;645;2860711;1
2010.10.13;6.64;6.81;6.55;6.77;2567;10485938;1
2010.10.14;6.71;6.83;6.71;6.81;1528;7717911;1
2010.10.15;6.84;6.88;6.79;6.84;1550;7116709;1
2010.10.18;6.81;6.90;6.78;6.87;1219;5984452;1
2010.10.19;6.83;6.90;6.77;6.81;1999;8852675;1
2010.10.20;6.83;6.88;6.79;6.81;1912;8522013;1
2010.10.21;6.82;6.98;6.80;6.90;3328;14476401;1
2010.10.22;6.95;7.03;6.89;6.98;4868;20393222;1
2010.10.25;7.01;7.17;6.95;7.09;2682;10874209;1
2010.10.26;7.08;7.08;6.79;6.86;2830;16580613;1
2010.10.27;6.87;6.88;6.72;6.74;1810;10162795;1
2010.10.28;6.74;6.90;6.74;6.80;1380;5796574;1
2010.10.29;6.86;7.04;6.80;7.04;2777;15974404;1
2010.11.01;7.04;7.05;6.91;7.02;943;4631747;1
2010.11.03;7.02;7.02;6.85;6.89;930;4869723;1
2010.11.04;6.97;7.09;6.93;7.01;1692;8264000;1
2010.11.05;7.01;7.08;6.97;7.08;1145;7582646;1
2010.11.08;7.02;7.22;7.02;7.14;1728;7840654;1
2010.11.09;7.17;7.23;6.92;6.92;1611;7938350;1
2010.11.10;6.96;7.00;6.85;6.96;979;5035055;1
2010.11.11;6.90;6.97;6.88;6.92;1176;5425833;1
2010.11.12;6.90;7.00;6.82;6.90;866;4509004;1
2010.11.16;6.96;7.00;6.84;6.90;1735;6901278;1
2010.11.17;6.90;7.05;6.86;7.01;759;4661808;1
2010.11.18;7.02;7.15;7.02;7.15;1058;4694372;1
2010.11.19;7.08;7.19;7.07;7.18;1196;6006994;1
2010.11.22;7.23;7.27;7.14;7.27;1438;6883745;1
2010.11.23;7.23;7.29;7.05;7.08;2039;8975419;1
2010.11.24;7.13;7.17;7.08;7.09;1592;8694861;1
2010.11.25;7.10;7.17;7.07;7.07;480;2111716;1
2010.11.26;7.08;7.15;7.03;7.04;1026;4413812;1
2010.11.29;7.04;7.10;6.90;6.96;2282;11064598;1
2010.11.30;6.98;7.05;6.86;6.86;2383;16678318;1
2010.12.01;6.95;7.04;6.92;6.96;1635;7121718;1
2010.12.02;7.02;7.08;6.96;6.99;1135;4594171;1
2010.12.03;7.02;7.22;6.99;7.22;999;6082144;1
2010.12.06;7.20;7.22;7.11;7.17;681;2572637;1
2010.12.07;7.16;7.18;7.01;7.08;1396;5929338;1
2010.12.08;7.05;7.16;7.05;7.16;910;4100687;1
2010.12.09;7.13;7.16;6.98;7.11;1238;4576637;1
2010.12.10;7.10;7.17;7.03;7.17;708;3121233;1
2010.12.13;7.17;7.23;7.16;7.19;607;3101191;1
2010.12.14;7.16;7.24;7.12;7.20;806;4015518;1
2010.12.15;7.20;7.40;7.16;7.34;2252;9987441;1
2010.12.16;7.29;7.40;7.29;7.34;1429;7424825;1
2010.12.17;7.34;7.40;7.29;7.40;1094;7429838;1
2010.12.20;7.47;7.52;7.33;7.44;1990;3213917;1
2010.12.21;7.43;7.73;7.43;7.66;3292;7330636;1
2010.12.22;7.70;7.73;7.46;7.60;2266;5143270;1
2010.12.23;7.54;7.69;7.51;7.62;1442;3001493;1
2010.12.27;7.59;7.68;7.47;7.62;1673;3114719;1
2010.12.28;7.61;7.66;7.48;7.52;3062;5303589;1
2010.12.29;7.52;7.70;7.50;7.55;2485;4788563;1
2010.12.30;7.63;7.80;7.57;7.63;3802;8732443;1
2011.01.03;7.77;7.81;7.68;7.73;4119;5675835;1
2011.01.04;7.78;7.83;7.65;7.71;4519;8338152;1
2011.01.05;7.69;7.77;7.59;7.60;4044;7468914;1
2011.01.06;7.61;7.67;7.51;7.59;5241;11101173;1
2011.01.07;7.60;7.68;7.48;7.51;2605;4756499;1
2011.01.10;7.52;7.60;7.50;7.55;3598;6539561;1
2011.01.11;7.59;7.61;7.50;7.53;3466;6010000;1
2011.01.12;7.44;7.46;7.28;7.32;7702;15583619;1
2011.01.13;7.34;7.35;7.20;7.20;4536;8566104;1
2011.01.14;7.22;7.31;7.04;7.07;6044;9535035;1
2011.01.17;7.08;7.24;7.04;7.20;2895;4863208;1
2011.01.18;7.21;7.23;6.92;6.96;8590;15912771;1
2011.01.19;6.98;6.99;6.82;6.93;5130;9535037;1
2011.01.20;6.92;7.05;6.85;6.89;5242;11819599;1
2011.01.21;6.92;6.98;6.72;6.73;6176;10421305;1
2011.01.24;6.77;6.92;6.74;6.92;3810;6204387;1
2011.01.26;6.94;7.08;6.93;7.07;4837;8976422;1
2011.01.27;7.07;7.13;7.00;7.05;4580;10652771;1
2011.01.28;7.01;7.06;6.67;6.85;5751;9654275;1
2011.01.31;6.87;6.92;6.74;6.76;4831;8231437;1
2011.02.01;6.75;6.79;6.62;6.71;4621;11521506;1
2011.02.02;6.74;6.84;6.65;6.76;5389;7507990;1
2011.02.03;6.76;6.78;6.60;6.69;3164;6048579;1
2011.02.04;6.64;6.72;6.54;6.57;3891;5971420;1
2011.02.07;6.59;6.67;6.55;6.61;3150;4884756;1
2011.02.08;6.60;6.71;6.60;6.66;4236;9083137;1
2011.02.09;6.66;6.73;6.43;6.49;4395;7228936;1
2011.02.10;6.49;6.52;6.37;6.39;5494;11361686;1
2011.02.11;6.40;6.65;6.36;6.62;6670;10585634;1
2011.02.14;6.67;6.73;6.55;6.61;4060;7812094;1
2011.02.15;6.61;6.76;6.58;6.72;2456;4940863;1
2011.02.16;6.70;6.90;6.67;6.85;4391;7457888;1
2011.02.17;6.86;6.92;6.78;6.89;3621;5831142;1
2011.02.18;6.84;7.02;6.80;6.98;3812;5716915;1
2011.02.21;6.95;6.99;6.84;6.94;2514;4341669;1
2011.02.22;6.88;6.94;6.73;6.79;4466;9186340;1
2011.02.23;6.79;6.82;6.59;6.61;5529;9625716;1
2011.02.24;6.62;6.66;6.54;6.54;2857;4147780;1
2011.02.25;6.61;6.64;6.51;6.59;3123;4832649;1
2011.02.28;6.55;6.72;6.55;6.67;3159;8030539;1
2011.03.01;6.72;6.86;6.70;6.83;5281;8973915;1
2011.03.02;6.77;7.09;6.77;7.09;6459;13084127;1
2011.03.03;7.13;7.14;6.86;6.93;7016;14097151;1
2011.03.04;6.94;7.01;6.78;6.87;4923;11034034;1
2011.03.09;6.85;6.90;6.77;6.82;2073;3254498;1
2011.03.10;6.78;6.90;6.73;6.86;4288;6927831;1
2011.03.11;6.88;6.99;6.77;6.99;3964;5468919;1
2011.03.14;6.94;6.99;6.86;6.91;4345;7067110;1
